Designator,Mid X,Mid Y,Rotation,Layer
C1,137.0,-171.73,90.0,bottom
C10,159.6,-151.25,90.0,top
C11,141.1,-159.606,180.0,top
C12,158.0,-166.0,270.0,top
C13,171.0,-90.25,180.0,bottom
C14,165.75,-93.82,180.0,top
C15,186.25,-140.35,270.0,top
C16,160.855,-97.25,90.0,top
C17,210.0,-147.5,270.0,top
C18,211.75,-138.5,90.0,top
C19,209.9532,-135.5268,0.0,top
C2,142.0,-171.73,90.0,bottom
C20,211.0,-132.0,0.0,top
C21,212.23,-127.5,0.0,top
C22,180.75,-134.75,180.0,top
C23,158.7468,-140.556,180.0,top
C24,165.4,-152.875,0.0,top
C25,169.25,-116.045,270.0,top
C26,170.5,-166.5,90.0,top
C27,183.25,-108.425,0.0,top
C3,151.0,-180.0,0.0,top
C4,150.1,-154.399,180.0,top
C5,157.75,-160.25,0.0,bottom
C6,159.25,-162.75,270.0,bottom
C7,154.0,-155.75,180.0,bottom
C8,161.2,-153.75,90.0,bottom
C9,155.267,-165.956,270.0,top
D1,166.75,-98.25,180.0,top
D2,180.05,-145.25,270.0,top
D3,166.697,-103.218,180.0,top
D4,189.684,-125.316,90.0,top
D6,133.55,-186.276,90.0,top
D7,176.75,-121.75,180.0,top
D8,186.25,-134.0,270.0,top
F1,184.8,-149.05,180.0,top
J1,165.3,-132.505,180.0,top
J10,208.48,-121.379,0.0,top
J11_2,181.683,-99.535,0.0,top
J11,195.653,-125.443,0.0,top
J2,133.7,-117.35,90.0,top
J3,139.9,-132.52,180.0,top
J4,164.45,-84.5,90.0,bottom
J5,256.105,-85.565,180.0,top
J6,256.105,-189.705,0.0,top
J7,206.4,-129.975,0.0,top
J8,193.4,-130.025,0.0,top
J9,117.825,-185.225,90.0,top
P1,178.05,-162.8,0.0,bottom
Q1,174.5,-113.5,180.0,top
Q2,188.75,-129.75,180.0,top
Q3,189.811,-118.712,90.0,top
R1,167.0,-177.5,90.0,top
R10,154.2625,-186.4,90.0,bottom
R11,158.2625,-186.4,90.0,bottom
R12,174.75,-92.75,0.0,top
R13,168.75,-90.5,90.0,top
R14,212.671,-121.379,0.0,top
R15,170.25,-98.25,0.0,top
R16,172.031,-103.218,0.0,top
R17,189.75,-114.75,270.0,top
R18,146.6625,-148.3,0.0,top
R19_2,184.5,-125.75,90.0,top
R19,194.002,-121.381,270.0,top
R2,156.4,-152.0,270.0,top
R20,209.5,-140.75,270.0,top
R21,212.75,-145.25,180.0,top
R22,162.2625,-186.4,90.0,bottom
R23,166.2625,-186.4,90.0,bottom
R24,85.75,-144.5,270.0,bottom
R25,133.296,-182.776,270.0,top
R3,157.4,-152.0,270.0,top
R4,147.0,-166.5,0.0,top
R5,160.7,-153.0,0.0,top
R6,138.1625,-186.4,90.0,bottom
R7,142.1625,-186.4,90.0,bottom
R8,146.1625,-186.4,90.0,bottom
R9,150.2625,-186.4,90.0,bottom
RV1,134.0,-101.0,270.0,top
SW1_2,176.85,-181.25,180.0,top
SW1,108.86,-188.78,180.0,top
SW2,161.1375,-182.4,270.0,top
SW3,135.25,-141.25,0.0,top
U1,155.7,-158.0,0.0,top
U2,153.1625,-173.7,180.0,top
U3,170.5,-93.8,0.0,top
U4,219.4,-136.2,0.0,top
U5,155.4,-144.95,0.0,top
U6,177.0,-129.5,180.0,top
U7,85.6425,-136.47,90.0,top
U8,173.25,-166.75,0.0,top
Y1,141.95,-166.5,180.0,top
